short_name,sequence,MOTA,IDF1,HOTA,MT,ML,FP,FN,Rcll,Prcn,AssA,DetA,AssRe,AssPr,DetRe,DetPr,LocA,FAR,IDSW,FM,Rcll,Prcn,runtime,IDP,IDR,IDSWR,detector
TTS,OVERALL,77.4646,75.2363,61.9198,878,113,34201,80788,84.3866,92.7362,60.1279,63.9555,66.3021,74.5158,70.64,77.6295,83.9123,7.63586,1615,2421,84.3866,92.7362,1740,78.9584,71.8493,,1
TTS,MOT20-08,61.0255,60.8081,48.6414,83,31,7814,21939,71.6858,87.6671,46.5058,51.1432,53.489,64.5123,58.205,71.181,81.9784,9.69479,446,714,71.6858,87.6671,1740,67.5863,55.2656,,1
TTS,MOT20-07,77.8134,72.9398,59.041,84,6,2711,4490,86.4355,91.3447,55.3519,63.3041,61.2969,72.1804,71.4226,75.4791,83.298,4.63419,143,211,86.4355,91.3447,1740,75.0112,70.9797,,1
TTS,MOT20-06,64.3446,61.8916,50.8586,139,52,10288,36309,72.65,90.3613,48.0454,54.0136,53.5966,67.9414,59.987,74.6112,82.6249,10.2063,738,956,72.65,90.3613,1740,69.4358,55.8261,,1
TTS,MOT20-04,88.4247,85.1277,70.2347,572,24,13388,18050,93.4144,95.0308,67.856,72.8242,74.0548,79.1271,79.2209,80.5917,84.8784,6.43654,288,540,93.4144,95.0308,1740,85.8642,84.4037,,1
TTRNet,OVERALL,74.2956,76.4298,59.8547,785,130,33144,97893,81.0808,92.6782,59.7048,60.1702,65.6219,75.7295,66.1171,75.5742,81.9151,7.39987,1964,6536,81.0808,92.6782,369.95,81.8959,71.6477,,1
TTRNet,MOT20-08,62.1638,66.3159,52.0263,83,36,6043,22842,70.5204,90.042,52.884,51.3327,58.516,73.6263,57.1077,72.9165,81.8198,7.49752,432,1374,70.5204,90.042,369.95,75.4948,59.127,,1
TTRNet,MOT20-07,77.6774,74.9835,59.7477,79,5,2281,4909,85.1696,92.5147,57.1602,62.9282,61.6039,76.1356,69.6587,75.6661,82.2428,3.89915,199,394,85.1696,92.5147,369.95,78.2168,72.0069,,1
TTRNet,MOT20-06,63.5838,65.0719,52.4766,131,56,7228,40313,69.634,92.7482,52.352,52.7023,57.455,74.4146,57.2153,76.2072,82.5075,7.17063,804,2119,69.634,92.7482,369.95,75.8719,56.9635,,1
TTRNet,MOT20-04,82.5054,84.1347,65.0244,492,33,17592,29829,89.1168,93.2816,64.2816,65.9542,70.7409,76.5957,72.5481,75.9385,81.6742,8.45769,529,2649,89.1168,93.2816,369.95,86.1007,82.2565,,1
TrTrack,OVERALL,65.0199,59.4271,48.9287,622,167,27191,150197,70.9723,93.1061,45.2199,53.3387,51.9021,66.3383,58.1844,76.3302,82.7757,6.07077,3608,11352,70.9723,93.1061,300,68.6938,52.3634,,1
TrTrack,MOT20-08,41.557,42.3233,32.5278,41,57,8655,35717,53.904,82.8349,29.7138,36.1624,35.2491,55.5293,41.3033,63.4712,78.4911,10.7382,912,2285,53.904,82.8349,300,53.6809,34.9324,,1
TrTrack,MOT20-07,54.3005,53.4841,44.6134,35,19,249,14701,55.5874,98.6648,44.2027,45.4001,49.6824,69.0469,47.3654,84.0711,86.1596,0.425641,177,528,55.5874,98.6648,300,74.2077,41.8084,,1
TrTrack,MOT20-06,51.4888,46.6511,37.2848,87,67,9840,53100,60.0021,89.0052,33.208,42.3518,38.2082,56.5897,46.8248,69.4584,79.29,9.7619,1462,3869,60.0021,89.0052,300,57.926,39.0503,,1
TrTrack,MOT20-04,79.5015,69.8888,57.8588,459,24,8447,46679,82.9691,96.4185,51.4059,65.2678,58.7518,70.4168,69.7656,81.0747,84.4607,4.06106,1057,4670,82.9691,96.4185,300,75.5533,65.0144,,1
TRCKFRMER_PR,OVERALL,68.6423,65.704,54.6709,666,181,20348,140373,72.8709,94.8797,52.9713,56.6831,57.3858,78.4954,60.8436,79.2199,83.6925,4.54298,1532,2474,72.8709,94.8797,782,75.6261,58.0835,,1
TRCKFRMER_PR,MOT20-08,46.0263,48.3447,38.8943,39,61,4580,36912,52.3618,89.8565,39.7008,38.464,43.3597,71.7628,41.8717,71.8547,81.0835,5.68238,329,547,52.3618,89.8565,782,65.6538,38.2582,,1
TRCKFRMER_PR,MOT20-07,56.2098,59.0475,49.1947,41,20,547,13856,58.1402,97.2363,50.2084,48.4488,53.308,83.4836,50.6305,84.6767,86.8576,0.935043,92,144,58.1402,97.2363,782,78.9006,47.1768,,1
TRCKFRMER_PR,MOT20-06,55.8841,53.5124,43.852,96,72,5582,52440,60.4993,93.5017,42.2283,45.8033,45.9531,74.0674,49.1335,75.9359,81.7175,5.5377,545,842,60.4993,93.5017,782,68.1079,44.0685,,1
TRCKFRMER_PR,MOT20-04,82.717,75.5894,63.2069,490,28,9639,37165,86.4403,96.0906,58.6364,68.2925,63.4285,80.1771,73.1124,81.2747,84.5307,4.63413,566,941,86.4403,96.0906,782,79.8088,71.7937,,1
TransCtr,OVERALL,61.0433,49.8437,43.5031,601,192,49189,147890,71.4181,88.2527,36.1002,52.9159,44.533,58.9852,59.1549,73.0988,81.7028,10.9821,4493,8950,71.4181,88.2527,4478.5,55.7182,45.0897,,0
TransCtr,MOT20-08,31.4581,31.5708,26.4886,35,64,13050,39038,49.618,74.6582,21.1886,33.7404,26.8158,46.0444,39.95,60.1112,79.3409,16.1911,1021,1941,49.618,74.6582,4478.5,39.5371,26.2764,,0
TransCtr,MOT20-07,76.5415,58.7818,50.8837,71,5,1372,6106,81.5534,95.1634,42.0696,62.1181,49.0502,62.725,67.4376,78.6919,83.3051,2.3453,287,448,81.5534,95.1634,4478.5,63.6867,54.5784,,0
TransCtr,MOT20-06,45.581,35.6408,30.7229,89,72,14441,55970,57.8403,84.1704,23.0217,41.4552,29.2917,45.5223,46.9006,68.2508,80.6311,14.3264,1834,3210,57.8403,84.1704,4478.5,43.753,30.0662,,0
TransCtr,MOT20-04,75.0248,59.4057,51.4755,406,51,20326,46776,82.9337,91.7919,42.0271,63.4724,51.7166,64.918,69.5195,76.9449,82.2674,9.77212,1351,3351,82.9337,91.7919,4478.5,62.5782,56.5392,,0
TransCenter,OVERALL,58.4615,49.6241,43.5042,603,185,64217,146019,71.7797,85.2586,36.9802,51.7098,45.139,58.9296,59.205,70.3226,81.1466,14.3374,4695,9581,71.7797,85.2586,4478.5,54.2833,45.7014,,1
TransCenter,MOT20-08,24.5083,29.1717,25.9555,38,61,18420,38936,49.7496,67.6661,21.6731,31.6849,26.5997,44.4047,39.636,53.9102,78.3872,22.8536,1138,2364,49.7496,67.6661,4478.5,34.4246,25.3097,,1
TransCenter,MOT20-07,73.167,58.4286,50.352,67,7,2566,6035,81.7679,91.3404,41.532,61.3918,48.9866,61.3874,68.1969,76.1806,82.9415,4.38632,281,435,81.7679,91.3404,4478.5,61.8487,55.3669,,1
